id,default_code,name,is_storable,tracking,categ_id:id
product_template_23495,23495,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_23646,23646,Mirror Mount..,TRUE,none,aak_product_data.product_category_components
product_template_24020,24020,UHF F-TNC M Adapter,TRUE,none,aak_product_data.product_category_components
product_template_24294,24294,118-136 Unity Omni Antenna,TRUE,none,aak_product_data.product_category_components
product_template_24591,24591,"8"" PA horn-Weatherproof",TRUE,none,aak_product_data.product_category_components
product_template_24612,24612,"LARSEN trunk gutter mount L bracket for 3/8 inch hole. 2 1/8"" by 2 1/8"" footprint.",TRUE,none,aak_product_data.product_category_components
product_template_24909,24909,Mini ATM 15A Fuse (10 Pack)..,TRUE,none,aak_product_data.product_category_components
product_template_25061,25061,"1"" x 25 yd Velcro",TRUE,none,aak_product_data.product_category_components
product_template_25840,25840,"SPECO 6"" PA horn. 8 ohm, 250-15000 Hz, 15 watt maximum power. Aluminum construction, weatherproof.",TRUE,none,aak_product_data.product_category_components
product_template_25959,25959,The Laird G8PI magnetic antenna mount is a Motorola-style mobile antenna mount that offers removability. No drilling into the vehicle is required for installation making the location of the magnetic mount easy to adjust. The vehicle antenna mount threa...,TRUE,none,aak_product_data.product_category_components
product_template_26367,26367,N Male (25 pack)..,TRUE,none,aak_product_data.product_category_components
product_template_26484,26484,"LAIRD 47-50 MHz DC ground base loaded antenna. Unity gain, 500 watt. 49"" tap- ered whip. Attractive black/chrome coil. Order spring and/or mount separately.",TRUE,none,aak_product_data.product_category_components
product_template_26715,26715,Fiberglass Antenna,TRUE,none,aak_product_data.product_category_components
product_template_26751,26751,SMA F Crimp for RG58,TRUE,none,aak_product_data.product_category_components
product_template_26757,26757,Lug,TRUE,none,aak_product_data.product_category_components
product_template_27046,27046,LMR 400 Ultraflex,TRUE,none,aak_product_data.product_category_components
product_template_27453,27453,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_27572,27572,"AMPHENOL BNC male crimp connector for standard RG58 and RG141 cables. Gold plated, crimped center pin.",TRUE,none,aak_product_data.product_category_components
product_template_27902,27902,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_28013,28013,M PL259..,TRUE,none,aak_product_data.product_category_components
product_template_28094,28094,20' Mast,TRUE,none,aak_product_data.product_category_components
product_template_28600,28600,One-Legged Mount Assembly,TRUE,none,aak_product_data.product_category_components
product_template_28664,28664,The ROHN R-HB25CG adjustable house mounting bracket is designed to enable the mounting of 25G tower sections to the side of a wall or other stable vertical structure. Each hot-dip galvanized steel house mounting bracket allows you to adjust the distanc...,TRUE,none,aak_product_data.product_category_components
product_template_28821,28821,AMPHENOL N male crimp connector for RG-58 cable. Features a .100 dia. gold plated center pin and crimp ferrule...,TRUE,none,aak_product_data.product_category_components
product_template_28858,28858,Contact Cleaner,TRUE,none,aak_product_data.product_category_components
product_template_28909,28909,Brass mount,TRUE,none,aak_product_data.product_category_components
product_template_29248,29248,The CommScope DB365W set of two mounting clamps are designed for mounting an antenna pipe to a wood pole. The clamp jaws fit around poles 1 1/4 to 3 1/2 inches in diameter. The antenna pole mount also will mount to masonry walls up to 10 inches thick. ...,TRUE,none,aak_product_data.product_category_components
product_template_29777,29777,Universal Clamp Set,TRUE,none,aak_product_data.product_category_components
product_template_29867,29867,BNC Female UHF Male Adapter,TRUE,none,aak_product_data.product_category_components
product_template_30868,30868,The ROHN R-25GBRM is a non-penetrating roof mount designed to support ROHN model 25G tower sections. The mount is able to support two (2) sections of 25G tower in a self-supporting application. The base of the mount covers 10-ft² and is equipped with a...,TRUE,none,aak_product_data.product_category_components
product_template_30918,30918,Power Supply..,TRUE,none,aak_product_data.product_category_components
product_template_31679,31679,150-174mhz 9.2db 5 Element Yagi Antenna ..,TRUE,none,aak_product_data.product_category_components
product_template_32013,32013,N F Bulkhead Protector,TRUE,none,aak_product_data.product_category_components
product_template_32110,32110,Coax Cable..,TRUE,none,aak_product_data.product_category_components
product_template_32575,32575,Antenna..,TRUE,none,aak_product_data.product_category_components
product_template_33236,33236,50' Telescoping Mast,TRUE,none,aak_product_data.product_category_components
product_template_33449,33449,UHF Male (LMR-420),TRUE,none,aak_product_data.product_category_components
product_template_33825,33825,"5/8 Wave antenna operates within the VHF frequency range, 144-174 MHz.",TRUE,none,aak_product_data.product_category_components
product_template_34450,34450,Andrew ASP705K 450 - 470 MHz fiberglass collinear omnidirectional antenna features of 10 dB gain.,TRUE,none,aak_product_data.product_category_components
product_template_34594,34594,"A.S. 3/8"" or 3/4"" diameter low profile thick roof mount for up to 1/2"" deep. Accepts low profile and MOSAIC antennas. Has 30' RG58/U cable. NO connector",TRUE,none,aak_product_data.product_category_components
product_template_34932,34932,"MAXRAD 450-470 MHz directional yagi antenna. 5 elem., 9.2dB gain, 300 watt. Direct N connector. Includes mounting hardware...",TRUE,none,aak_product_data.product_category_components
product_template_35065,35065,LMR 240 Flex Cable,TRUE,none,aak_product_data.product_category_components
product_template_35662,35662,"HAINES PRODUCTS 1/4"" nylon cable clamp used to secure wire in automotive and electrical applications. Screw mounting. Black. 100 per package.",TRUE,none,aak_product_data.product_category_components
product_template_35834,35834,"RF INDUSTRIES N male connector for 9913, Lmr400, AND 241543, CUS TL93605. Silver plated body, gold center pin. Crimp center pin, crimp on braid.",TRUE,none,aak_product_data.product_category_components
product_template_35951,35951,LAIRD 152-162 MHz Unity gain 1/4 wave antenna in black. Bras,TRUE,none,aak_product_data.product_category_components
product_template_35985,35985,UHF M Crimp,TRUE,none,aak_product_data.product_category_components
product_template_36323,36323,"450-470 MHz 5/8 wave antenna. 200 watt, 3dB gain, with spring. ",TRUE,none,aak_product_data.product_category_components
product_template_36421,36421,"RF INDUSTRIES N male connector for RG58/U, RG58A/U, RG141, RG58 Ultralink. cable. Silver plated body, gold pin. Crimp center pin, crimp on braid.",TRUE,none,aak_product_data.product_category_components
product_template_36444,36444,"BIRD RF coaxial attenuator. 2 watts, 1dB nominal attenuation. Male N to Female N connector.",TRUE,none,aak_product_data.product_category_components
product_template_36750,36750,The Larsen NMOKFME vehicle roof mount antenna installation hardware kit is a NMO mount for Motorola-style mobile antennas 0-1000 MHz. This nickel-plated stainless steel permanent mount is for a 3/4 inch hole in mounting surfaces...,TRUE,none,aak_product_data.product_category_components
product_template_36856,36856,Fuse Holder ATC,TRUE,none,aak_product_data.product_category_components
product_template_36997,36997,Connector,TRUE,none,aak_product_data.product_category_components
product_template_37145,37145,UHF (450-470MHZ) 10.2DB 6 ELEMENT YAGI ANTENNA,TRUE,none,aak_product_data.product_category_components
product_template_37200,37200,"LAIRD chrome plated stainless steel shock spring for the ""B"" and ""C"" style load coil. Set screws included.",TRUE,none,aak_product_data.product_category_components
product_template_37462,37462,VHF (144-162MHZ) 2.1 DBI FIBERGLASS OMNI ANTENNA,TRUE,none,aak_product_data.product_category_components
product_template_37510,37510,Telewave ANT150F2 omnidirectional antenna operates in the frequency range 148 - 174 MHz. The 2.5 dB gain VHF fiberglass collinear omni antenna can handle 500 watts. Also included is a removable 24 inch RG-213 jumper and features a recessed N female con...,TRUE,none,aak_product_data.product_category_components
product_template_37826,37826,"LARSEN trunk gutter mount L bracket for 3/4 hole. Metal finish . 2 1/8"" by 2 1/8"" footprint.",TRUE,none,aak_product_data.product_category_components
product_template_38190,38190,Side Mount Kit..,TRUE,none,aak_product_data.product_category_components
product_template_38275,38275,"1""X 25YD Velcro",TRUE,none,aak_product_data.product_category_components
product_template_38478,38478,Omni Bast Station Ground Plane Kit,TRUE,none,aak_product_data.product_category_components
product_template_38656,38656,10' 55G Section,TRUE,none,aak_product_data.product_category_components
product_template_39541,39541,QW470 Antenna,TRUE,none,aak_product_data.product_category_components
product_template_39931,39931,N M Connector,TRUE,none,aak_product_data.product_category_components
product_template_40260,40260,LMR 240  Ultraflex,TRUE,none,aak_product_data.product_category_components
product_template_40451,40451,"LARSEN plastic grommet which locks into a 3/4"" hole and has flexible center pieces to hold coax in position. 1/2"" deep, 100 per package.",TRUE,none,aak_product_data.product_category_components
product_template_40482,40482,"VENTEV split loom tubing. . 3/4"" ID Auto-grade tubing for protecting wire harness & cable runs. 50' long Polyethylene. Temp. rating 200 deg F",TRUE,none,aak_product_data.product_category_components
product_template_40756,40756,Polyphaser,TRUE,none,aak_product_data.product_category_components
product_template_40771,40771,Outdoor Cabinet,TRUE,none,aak_product_data.product_category_components
product_template_40819,40819,Laird Y8963 yagi antenna is gold-anodized and fully welded to create a greater gain because of its ability to focus a signal in one direction. This yagi antenna operates in the 896 - 970 MHz frequency range. The Y8963 yagi is 3-elements providing 6 dBd...,TRUE,none,aak_product_data.product_category_components
product_template_40924,40924,LMR-195 Coax Cable,TRUE,none,aak_product_data.product_category_components
product_template_41319,41319,"MAXRAD 27-31 MHz D.C. grounded, base loaded antenna. 500 watt. 1 MHz band- width. Requires less gnd plane area than conventional ant. Fits Motorola mounts.",TRUE,none,aak_product_data.product_category_components
product_template_41822,41822,Andrew Sled Mat,TRUE,none,aak_product_data.product_category_components
