id,component_id:id,product_id,quantity
product_components__component_list_2way_radio__48072,component_list_2way_radio,48072,1
product_components__component_list_2way_radio__27572,component_list_2way_radio,27572,1
product_components__component_list_2way_radio__28821,component_list_2way_radio,28821,1
product_components__component_list_2way_radio__217370,component_list_2way_radio,217370,1
product_components__component_list_2way_radio__60212,component_list_2way_radio,60212,1
product_components__component_list_2way_radio__75249,component_list_2way_radio,75249,1
product_components__component_list_2way_radio__87330,component_list_2way_radio,87330,1
product_components__component_list_2way_radio__34450,component_list_2way_radio,34450,1
product_components__component_list_2way_radio__90123,component_list_2way_radio,90123,1
product_components__component_list_2way_radio__79280,component_list_2way_radio,79280,1
product_components__component_list_2way_radio__41822,component_list_2way_radio,41822,1
product_components__component_list_2way_radio__49537,component_list_2way_radio,49537,1
product_components__component_list_2way_radio__56180,component_list_2way_radio,56180,1
product_components__component_list_2way_radio__201208,component_list_2way_radio,201208,1
product_components__component_list_2way_radio__99044,component_list_2way_radio,99044,1
product_components__component_list_2way_radio__23495,component_list_2way_radio,23495,1
product_components__component_list_2way_radio__88709,component_list_2way_radio,88709,1
product_components__component_list_2way_radio__80421,component_list_2way_radio,80421,1
product_components__component_list_2way_radio__80245,component_list_2way_radio,80245,1
product_components__component_list_2way_radio__42395,component_list_2way_radio,42395,1
product_components__component_list_2way_radio__42576,component_list_2way_radio,42576,1
product_components__component_list_2way_radio__73357,component_list_2way_radio,73357,1
product_components__component_list_2way_radio__90425,component_list_2way_radio,90425,1
product_components__component_list_2way_radio__56962,component_list_2way_radio,56962,1
product_components__component_list_2way_radio__27453,component_list_2way_radio,27453,1
product_components__component_list_2way_radio__50805,component_list_2way_radio,50805,1
product_components__component_list_2way_radio__27902,component_list_2way_radio,27902,1
product_components__component_list_2way_radio__21872,component_list_2way_radio,21872,1
product_components__component_list_2way_radio__48639,component_list_2way_radio,48639,1
product_components__component_list_2way_radio__49614,component_list_2way_radio,49614,1
product_components__component_list_2way_radio__42011,component_list_2way_radio,42011,1
product_components__component_list_2way_radio__22999,component_list_2way_radio,22999,1
product_components__component_list_2way_radio__60605,component_list_2way_radio,60605,1
product_components__component_list_2way_radio__64582,component_list_2way_radio,64582,1
product_components__component_list_2way_radio__75855,component_list_2way_radio,75855,1
product_components__component_list_2way_radio__76377,component_list_2way_radio,76377,1
product_components__component_list_2way_radio__32575,component_list_2way_radio,32575,1
product_components__component_list_2way_radio__82562,component_list_2way_radio,82562,1
product_components__component_list_2way_radio__204968,component_list_2way_radio,204968,1
product_components__component_list_2way_radio__60042,component_list_2way_radio,60042,1
product_components__component_list_2way_radio__36444,component_list_2way_radio,36444,1
product_components__component_list_2way_radio__87818,component_list_2way_radio,87818,1
product_components__component_list_2way_radio__64760,component_list_2way_radio,64760,1
product_components__component_list_2way_radio__61291,component_list_2way_radio,61291,1
product_components__component_list_2way_radio__29867,component_list_2way_radio,29867,1
product_components__component_list_2way_radio__49635,component_list_2way_radio,49635,1
product_components__component_list_2way_radio__22462,component_list_2way_radio,22462,1
product_components__component_list_2way_radio__99931,component_list_2way_radio,99931,1
product_components__component_list_2way_radio__88028,component_list_2way_radio,88028,1
product_components__component_list_2way_radio__17232,component_list_2way_radio,17232,1
product_components__component_list_2way_radio__84913,component_list_2way_radio,84913,1
product_components__component_list_2way_radio__11695,component_list_2way_radio,11695,1
product_components__component_list_2way_radio__58957,component_list_2way_radio,58957,1
product_components__component_list_2way_radio__97729,component_list_2way_radio,97729,1
product_components__component_list_2way_radio__54760,component_list_2way_radio,54760,1
product_components__component_list_2way_radio__61036,component_list_2way_radio,61036,1
product_components__component_list_2way_radio__57584,component_list_2way_radio,57584,1
product_components__component_list_2way_radio__66028,component_list_2way_radio,66028,1
product_components__component_list_2way_radio__83522,component_list_2way_radio,83522,1
product_components__component_list_2way_radio__12606,component_list_2way_radio,12606,1
product_components__component_list_2way_radio__28909,component_list_2way_radio,28909,1
product_components__component_list_2way_radio__15052,component_list_2way_radio,15052,1
product_components__component_list_2way_radio__90762,component_list_2way_radio,90762,1
product_components__component_list_2way_radio__10483,component_list_2way_radio,10483,1
product_components__component_list_2way_radio__62759,component_list_2way_radio,62759,1
product_components__component_list_2way_radio__70393,component_list_2way_radio,70393,1
product_components__component_list_2way_radio__66659,component_list_2way_radio,66659,1
product_components__component_list_2way_radio__32110,component_list_2way_radio,32110,1
product_components__component_list_2way_radio__23207,component_list_2way_radio,23207,1
product_components__component_list_2way_radio__67065,component_list_2way_radio,67065,1
product_components__component_list_2way_radio__52387,component_list_2way_radio,52387,1
product_components__component_list_2way_radio__86470,component_list_2way_radio,86470,1
product_components__component_list_2way_radio__36997,component_list_2way_radio,36997,1
product_components__component_list_2way_radio__86760,component_list_2way_radio,86760,1
product_components__component_list_2way_radio__28858,component_list_2way_radio,28858,1
product_components__component_list_2way_radio__212972,component_list_2way_radio,212972,1
product_components__component_list_2way_radio__211462,component_list_2way_radio,211462,1
product_components__component_list_2way_radio__88874,component_list_2way_radio,88874,1
product_components__component_list_2way_radio__62446,component_list_2way_radio,62446,1
product_components__component_list_2way_radio__94069,component_list_2way_radio,94069,1
product_components__component_list_2way_radio__67641,component_list_2way_radio,67641,1
product_components__component_list_2way_radio__65143,component_list_2way_radio,65143,1
product_components__component_list_2way_radio__73361,component_list_2way_radio,73361,1
product_components__component_list_2way_radio__206904,component_list_2way_radio,206904,1
product_components__component_list_2way_radio__220502,component_list_2way_radio,220502,1
product_components__component_list_2way_radio__59311,component_list_2way_radio,59311,1
product_components__component_list_2way_radio__46097,component_list_2way_radio,46097,1
product_components__component_list_2way_radio__55676,component_list_2way_radio,55676,1
product_components__component_list_2way_radio__11461,component_list_2way_radio,11461,1
product_components__component_list_2way_radio__58407,component_list_2way_radio,58407,1
product_components__component_list_2way_radio__49534,component_list_2way_radio,49534,1
product_components__component_list_2way_radio__22714,component_list_2way_radio,22714,1
product_components__component_list_2way_radio__93627,component_list_2way_radio,93627,1
product_components__component_list_2way_radio__62984,component_list_2way_radio,62984,1
product_components__component_list_2way_radio__70337,component_list_2way_radio,70337,1
product_components__component_list_2way_radio__80458,component_list_2way_radio,80458,1
product_components__component_list_2way_radio__57195,component_list_2way_radio,57195,1
product_components__component_list_2way_radio__26715,component_list_2way_radio,26715,1
