id,default_code,description,name,is_storable,tracking,categ_id:id
product_template_l_1900,L-1900,Factory Activation of NXR-1x00 Feature Licenses (per Repeater)</p><p>Note: Must purchase Repeater Feature Licenses separately.</p><p>KPT-300LMC's History Menu will not display the Repeater Features activated by Factory.,Factory Activation of NXR-1x00 Feature Licenses (per Repeater),TRUE,none,aak_product_data.product_category_kenwood_components
product_template_l_5000,L-5000,"KPT-300LMC Account Registration Key</p><p>Note: Must submit ""KPT-300LMC - Account Request Form"" to Land Mobile Order Desk. </p><p>Please find and download form from KENWOOD MyTools website > Product > Forms",KPT-300LMC Account Registration Key,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_1700e,NXR-1700E,"Repeater, Analog, VHF, 136-174MHz, 1-50W","Repeater, Analog, VHF, 136-174MHz, 1-50W",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_1800e,NXR-1800E,"Repeater, Analog, UHF, 450-520MHz, 1-40W","Repeater, Analog, UHF, 450-520MHz, 1-40W",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_1800e2,NXR-1800E2,"Repeater, Analog, UHF, 400-470MHz, 1-40W","Repeater, Analog, UHF, 400-470MHz, 1-40W",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_5700k,NXR-5700K,"Repeater, Digital, VHF, 136-174MHz, 25W, 0.5ppm TCXO built-in","Repeater, Digital, VHF, 136-174MHz, 25W, 0.5ppm TCXO built-in",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_5800k,NXR-5800K,"Repeater, Digital, UHF, 450-520MHz, 25W, 0.5ppm TCXO built-in","Repeater, Digital, UHF, 450-520MHz, 25W, 0.5ppm TCXO built-in",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_5800k3,NXR-5800K3,"Repeater, Digital, UHF, 400-470MHz, 25W, 0.5ppm TCXO built-in","Repeater, Digital, UHF, 400-470MHz, 25W, 0.5ppm TCXO built-in",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_5800k5,NXR-5800K5,"Repeater, Digital, UHF, 350-400MHz, 25W, 0.5ppm TCXO built-in","Repeater, Digital, UHF, 350-400MHz, 25W, 0.5ppm TCXO built-in",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_5900k,NXR-5900K,"Repeater, Digital, RX 806-825 MHz, TX 821-870 MHz ","Repeater, Digital, RX 806-825 MHz, TX 821-870 MHz ",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_nxr_5901k,NXR-5901K,"Repeater, Digital, RX 896-902MHz, TX 935-941MHz ","Repeater, Digital, RX 896-902MHz, TX 935-941MHz ",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_tkr_2500um,TKR-2500UM,"Repeater, UHF, 470-520MHz, 40W</p><p>TDMA digital trunking only (no analog, no DMR conventional)","Repeater, UHF, 470-520MHz, 40W",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_tkr_2500um2,TKR-2500UM2,"Repeater, UHF, 400-470MHz, 40W</p><p>TDMA digital trunking only (no analog, no DMR conventional)","Repeater, UHF, 400-470MHz, 40W",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_tkr_2500vm,TKR-2500VM,"Repeater, VHF, 136-174MHz, 50W</p><p>TDMA digital trunking only (no analog, no DMR conventional)","Repeater, VHF, 136-174MHz, 50W",TRUE,none,aak_product_data.product_category_kenwood_components
