id,default_code,description,name,is_storable,tracking,categ_id:id
product_template_nx_3200_isck,NX-3200-ISCK,"VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model","VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200_isck2,NX-3200-ISCK2,"VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model","VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200_isck3,NX-3200-ISCK3,"VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model","VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200k,NX-3200K,"VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model","VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200k2,NX-3200K2,"VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model","VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200k2lakvp,NX-3200K2LAKVP,VHF Hi-Cap Li-Ion Value Pack : NX-3200K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-26M,VHF Hi-Cap Li-Ion Value Pack : NX-3200K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200k2slakvp,NX-3200K2SLAKVP,VHF Li-Ion Value Pack : NX-3200K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,VHF Li-Ion Value Pack : NX-3200K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200k2_xlkvp,NX-3200K2-XLKVP,VHF Extra-Cap Li-Ion Value Pack : NX-3200K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-26M,VHF Extra-Cap Li-Ion Value Pack : NX-3200K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3200k3,NX-3200K3,"VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model","VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220_isck,NX-3220-ISCK,"VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model","VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220_isck2,NX-3220-ISCK2,"VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model","VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220_isck3,NX-3220-ISCK3,"VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model","VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k,NX-3220K,"VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model","VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k2,NX-3220K2,"VHF (136-174MHz), 5.0 Watts, 260CH, Standard Key Model","VHF (136-174MHz), 5.0 Watts, 260CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k2lakvp,NX-3220K2LAKVP,VHF Hi-Cap Li-Ion Value Pack : NX-3220K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-26M,VHF Hi-Cap Li-Ion Value Pack : NX-3220K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k2slakvp,NX-3220K2SLAKVP,VHF Li-Ion Value Pack : NX-3220K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,VHF Li-Ion Value Pack : NX-3220K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k2_tr,NX-3220K2-TR,"VHF (136-174MHz), 5.0 Watts, 260CH, Standard Key Model </p><p>with NXDN Trunking","VHF (136-174MHz), 5.0 Watts, 260CH, Standard Key Model ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k2_xlkvp,NX-3220K2-XLKVP,VHF Extra-Cap Li-Ion Value Pack : NX-3220K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-26M,VHF Extra-Cap Li-Ion Value Pack : NX-3220K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k3,NX-3220K3,"VHF (136-174MHz), 5.0 Watts, 260CH, Full Key Model","VHF (136-174MHz), 5.0 Watts, 260CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k3slakvp,NX-3220K3SLAKVP,VHF Li-Ion Value Pack : NX-3220K3+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,VHF Li-Ion Value Pack : NX-3220K3+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220k3_tr,NX-3220K3-TR,"VHF (136-174MHz), 5.0 Watts, 260CH, Full Key Model </p><p>with NXDN Trunking","VHF (136-174MHz), 5.0 Watts, 260CH, Full Key Model ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3220kslakvp,NX-3220KSLAKVP,VHF Li-Ion Value Pack : NX-3220K+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,VHF Li-Ion Value Pack : NX-3220K+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
