id,parent_id:id,name
product_category_motorola_professional_accessories_microphones,product_category_motorola_professional_accessories,Microphones
product_category_motorola_professional_accessories_service_tools_and_misc,product_category_motorola_professional_accessories,Service Tools and Misc
product_category_motorola_professional_accessories_service_tools_and_misc_software_license_keys,product_category_motorola_professional_accessories_service_tools_and_misc,Software License Keys
product_category_motorola_professional_accessories_service_tools_and_misc_user_manuals,product_category_motorola_professional_accessories_service_tools_and_misc,User Manuals
product_category_motorola_professional_accessories_call_boxes,product_category_motorola_professional_accessories,Call Boxes
product_category_motorola_professional_accessories_call_boxes_1,product_category_motorola_professional_accessories_call_boxes,Call Box-1
product_category_motorola_professional_accessories_call_boxes_2,product_category_motorola_professional_accessories_call_boxes,Call Box-2
product_category_motorola_professional_accessories_call_boxes_3,product_category_motorola_professional_accessories_call_boxes,Call Box-3
product_category_motorola_professional_accessories_call_boxes_4,product_category_motorola_professional_accessories_call_boxes,Call Box-4
product_category_motorola_professional_accessories_call_boxes_5,product_category_motorola_professional_accessories_call_boxes,Call Box-5
product_category_motorola_professional_accessories_call_boxes_6,product_category_motorola_professional_accessories_call_boxes,Call Box-6
product_category_motorola_professional_accessories_call_boxes_7,product_category_motorola_professional_accessories_call_boxes,Call Box-7
product_category_motorola_professional_accessories_ear_pieces,product_category_motorola_professional_accessories,Ear Pieces
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,product_category_motorola_professional_accessories,Digital Pro-Tier Mobile Accessories
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_combined_antenna_for_uhf_and_gps,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Combined Antenna for UHF and GPS
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_mobile_antenna_adding_gps_capability,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Mobile Antenna adding GPS Capability
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_mobile_antenna_excluding_gps_capability,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Mobile Antenna excluding GPS Capability
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_800_900mhz_non_gps_antennas_only,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,800/900MHz Non-GPS Antennas only
