id,product_template_attribute_value_id:id,product_tmpl_id:id,value_ids:id
product_template_attribute_exclusion__product_template_bpr50_dx__product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_band_split__product_attribute_band_split__product_attribute_value_400_470_mhz,product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_band_split__product_attribute_band_split__product_attribute_value_400_470_mhz,product_template_bpr50_dx,"product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_band__product_attribute_band__product_attribute_value_vhf,product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_power__product_attribute_power__product_attribute_value_5w"
product_template_attribute_exclusion__product_template_bpr50_dx__product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_band_split__product_attribute_band_split__product_attribute_value_136_174_mhz,product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_band_split__product_attribute_band_split__product_attribute_value_136_174_mhz,product_template_bpr50_dx,"product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_band__product_attribute_band__product_attribute_value_uhf,product_template_attribute_value__product_template_attribute_line__product_template_bpr50_dx__product_attribute_power__product_attribute_power__product_attribute_value_4w"
